id,kernel,lml,white_added,second_exception
18,l*p+r,-43.7411964718,True,False
18,l*r*p,-363.707496228,True,True
19,l,-151.812808944,False,False
19,p,169.688514154,False,False
19,r,158.317240488,False,False
19,l+r,154.121279391,False,False
19,l+p,-79.0406218015,False,False
19,p+r,161.477336795,False,False
19,l*r,60.8290765189,False,False
19,l*p,120.890655714,False,False
19,p*r,86.9401760569,False,False
19,l+r+p,143.0760288,False,False
19,l+r*p,155.83043255,False,False
19,l*r+p,104.096647339,False,False
19,l*p+r,-10.276914973,True,False
19,l*r*p,-142.467454496,False,False
20,l,-192.988561666,False,False
20,p,111.125928181,False,False
20,r,117.030550744,False,False
20,l+r,88.9452140405,False,False
20,l+p,-126.00721152,False,False
20,p+r,116.295330149,False,False
20,l*r,-185.960859678,False,False
20,l*p,-125.130400086,False,False
20,p*r,121.392496369,False,False
20,l+r+p,101.098487261,False,False
20,l+r*p,137.763962922,False,False
20,l*r+p,45.8175473881,False,False
20,l*p+r,-29.7671743183,True,False
20,l*r*p,-186.063787224,False,False
21,l,-344.550660202,False,False
21,p,-50.8041238383,False,False
21,r,-52341.4322576,False,False
21,l+r,-86.7865672815,True,False
21,l+p,-390.949411954,True,False
21,p+r,-50833.9449098,False,False
21,l*r,-80.6875359799,False,False
21,l*p,-344.18590671,False,False
21,p*r,-240.282423485,False,False
21,l+r+p,-269.611002576,False,False
21,l+r*p,-82.1210842126,True,False
21,l*r+p,-58.9062577712,False,False
21,l*p+r,-93.7713983012,True,False
21,l*r*p,-683.211488358,False,False
22,l,-147.587319419,False,False
22,p,206.801388975,False,False
22,r,166.050073928,False,False
22,l+r,150.189253363,False,False
22,l+p,-17.0478205353,True,False
22,p+r,204.447564439,False,False
22,l*r,-141.337044973,False,False
22,l*p,151.636023763,False,False
22,p*r,-56.856500885,True,False
22,l+r+p,40.4739618379,False,False
22,l+r*p,-87.4107019154,False,False
22,l*r+p,95.7919361209,False,False
22,l*p+r,-82.542058973,True,False
22,l*r*p,-141.346337523,False,False
23,l,-147.52897804,False,False
23,p,208.213811552,False,False
23,r,181.677776231,False,False
23,l+r,1.08854308483,True,False
23,l+p,-64.5006490417,False,False
23,p+r,177.43968006,False,False
23,l*r,-141.292765767,False,False
23,l*p,152.536565797,False,False
23,p*r,-15.7920261101,False,False
23,l+r+p,114.580227358,False,False
23,l+r*p,-8.68586970501,True,False
23,l*r+p,174.276108537,False,False
23,l*p+r,2.06581798485,True,False
23,l*r*p,-141.297197533,False,False
24,l,-247.984071313,False,False
24,p,-246.478172915,False,False
24,r,-457.644568076,False,False
24,l+r,-460.342513073,False,False
24,l+p,-250.63837997,False,False
24,p+r,-237.983340599,True,False
24,l*r,-60.5563711974,True,False
24,l*p,-241.376180092,True,False
24,p*r,-232.647254021,False,False
24,l+r+p,-296.542305672,False,False
24,l+r*p,-248.18810695,True,False
24,l*r+p,-53.2083048919,True,False
24,l*p+r,-23.5643254893,False,False
24,l*r*p,29.6413192913,False,False
25,l,-145.708830347,False,False
25,p,174.537383368,False,False
25,r,138.437351301,False,False
25,l+r,134.677488722,False,False
25,l+p,-132.095451655,False,False
25,p+r,136.711240648,False,False
25,l*r,-143.099888081,True,False
25,l*p,-10.4466692754,True,False
25,p*r,-170.877097453,False,False
25,l+r+p,-54.8855937922,True,False
25,l+r*p,47.1545774647,False,False
25,l*r+p,106.805208018,False,False
25,l*p+r,118.964923409,False,False
25,l*r*p,-143.108707843,True,False
26,l,-177.20709095,False,False
26,p,-177.817374994,False,False
26,r,117.999289818,False,False
26,l+r,-16.5105247274,True,False
26,l+p,-174.657137358,False,False
26,p+r,-177.818563597,False,False
26,l*r,-1.4776086902,True,False
26,l*p,-97.0842763781,False,False
26,p*r,-136.442514155,False,False
26,l+r+p,112.160122408,False,False
26,l+r*p,-15.5509615679,True,False
26,l*r+p,-1.78602920608,True,False
26,l*p+r,114.126496836,False,False
26,l*r*p,1.91148486641,True,False
27,l,-422.494865533,False,False
27,p,-495.682110729,False,False
27,r,-462.904017839,False,False
27,l+r,-19950936.1438,True,False
27,l+p,-427.586570832,False,False
27,p+r,-419.427625845,False,False
27,l*r,-238.407838972,True,False
27,l*p,-326.180619601,True,False
27,p*r,-98.2581408832,True,False
27,l+r+p,-439.609392841,False,False
27,l+r*p,-195.119551715,False,False
27,l*r+p,-238.281451102,True,False
27,l*p+r,-460.530419322,False,False
27,l*r*p,-756.027605045,True,True
28,l,-145.480503346,False,False
28,p,-143.121951177,False,False
28,r,-90513447.9658,False,False
28,l+r,-134.84695693,True,False
28,l+p,-132.543809123,True,False
28,p+r,76.8856108654,False,False
28,l*r,-142.850399496,False,False
28,l*p,-145.131713421,True,False
28,p*r,-171.218400439,True,False
28,l+r+p,142.76926502,False,False
28,l+r*p,-168.876446626,True,True
28,l*r+p,-17.0610566227,False,False
28,l*p+r,-9.14203000685,True,False
28,l*r*p,-142.843815245,True,False
29,l,-135.915241039,False,False
29,p,183.217919687,False,False
29,r,-136.821940327,False,False
29,l+r,-131.761759249,False,False
29,l+p,-19.8583118228,False,False
29,p+r,105.551401025,False,False
29,l*r,120.711029172,False,False
29,l*p,95.9434790772,False,False
29,p*r,117.140054167,False,False
29,l+r+p,109.247927752,False,False
29,l+r*p,175.498232003,False,False
29,l*r+p,182.339938198,False,False
29,l*p+r,120.300039375,False,False
29,l*r*p,120.70872306,False,False
30,l,-324.639287438,False,False
30,p,-342.081551909,False,False
30,r,-319.006641515,False,False
30,l+r,-313.599502304,False,False
30,l+p,-331.985514648,False,False
30,p+r,-25995964474.8,False,False
30,l*r,-177.657590829,True,False
30,l*p,-324.36554239,True,False
30,p*r,-366.361804305,False,False
30,l+r+p,-348.971325965,False,False
30,l+r*p,-362.888698314,True,False
30,l*r+p,-318.382173221,True,False
30,l*p+r,-315.32192029,False,False
30,l*r*p,-177.733995205,True,False
31,l,-67.8496490525,False,False
31,p,-71.4585512877,False,False
31,r,193.214306197,False,False
31,l+r,-11.9565054366,True,False
31,l+p,11.7890758262,True,False
31,p+r,193.522424853,False,False
31,l*r,134.57715456,False,False
31,l*p,-68.1425358208,False,False
31,p*r,224.939778867,False,False
31,l+r+p,187.759196395,False,False
31,l+r*p,168.196027147,False,False
31,l*r+p,163.312884104,False,False
31,l*p+r,-141.596651605,False,False
31,l*r*p,134.568833685,False,False
32,l,-192.508534612,False,False
32,p,115.239233972,False,False
32,r,115.931497968,False,False
32,l+r,111.312388578,False,False
32,l+p,-113.816375009,False,False
32,p+r,121.649311462,False,False
32,l*r,-105.567892422,True,False
32,l*p,84.0196272604,False,False
32,p*r,141.292562134,False,False
32,l+r+p,-21.2812889534,True,False
32,l+r*p,35.4278989707,False,False
32,l*r+p,165.961036997,False,False
32,l*p+r,63.3000131383,False,False
32,l*r*p,-31.0271532725,True,False
33,l,-344.863036881,False,False
33,p,-342.143545586,False,False
33,r,-198.054795853,False,False
33,l+r,-199.675787679,False,False
33,l+p,-665.209624417,True,False
33,p+r,-47.3323424774,False,False
33,l*r,-72.6818968986,False,False
33,l*p,-272.064957435,True,False
33,p*r,-63.3216344408,True,False
33,l+r+p,-322598.875699,False,False
33,l+r*p,-161.306917201,False,False
33,l*r+p,-142.883068967,True,False
33,l*p+r,-85.2569289104,True,False
33,l*r*p,-180.562401611,False,False
34,l,-154.214910962,False,False
34,p,158.092522187,False,False
34,r,134.347971595,False,False
34,l+r,-12.7532957796,True,False
34,l+p,-80.9606396649,False,False
34,p+r,86.4120382522,False,False
34,l*r,-144.740375462,False,False
34,l*p,-9.92307970333,True,False
34,p*r,149.031216304,False,False
34,l+r+p,133.103369992,False,False
34,l+r*p,-179.326945316,True,False
34,l*r+p,122.218218035,False,False
34,l*p+r,-138.633322563,False,False
34,l*r*p,-145.109833232,False,False
35,l,-147.769734906,False,False
35,p,205.670163295,False,False
35,r,199.07855031,False,False
35,l+r,195.866429523,False,False
35,l+p,-77.8649612389,False,False
35,p+r,-149.151245386,False,False
35,l*r,-141.455070674,False,False
35,l*p,-82.0149654793,True,False
35,p*r,-176.541266184,False,False
35,l+r+p,193.169508106,False,False
35,l+r*p,-177.911064696,False,False
35,l*r+p,204.885252606,False,False
35,l*p+r,-82.5484630182,False,False
35,l*r*p,-141.464463478,False,False
36,l,-326.8105703,False,False
36,p,-340.369300409,False,False
36,r,-158.532475283,False,False
36,l+r,-262.293695216,False,False
36,l+p,-251.685112289,True,False
36,p+r,-310.119958802,False,False
36,l*r,-127.889249102,True,False
36,l*p,-40.5872054766,False,False
36,p*r,-109.044695266,False,False
36,l+r+p,-294.28284836,False,False
36,l+r*p,49.1900648264,False,False
36,l*r+p,-63563.3955446,True,False
36,l*p+r,-58.2832483915,True,False
36,l*r*p,-184.024871971,True,False
37,l,-147.651390394,False,False
37,p,-116.724474838,False,False
