id,week,gym_uk,day,month,year,days_n
177,22-05-16,60,22,5,2016,
178,29-05-16,64,29,5,2016,
179,05-06-16,59,5,6,2016,
180,12-06-16,56,12,6,2016,
181,19-06-16,54,19,6,2016,
182,26-06-16,56,26,6,2016,
183,03-07-16,61,3,7,2016,
184,10-07-16,68,10,7,2016,
185,17-07-16,71,17,7,2016,
186,24-07-16,72,24,7,2016,
187,31-07-16,71,31,7,2016,
188,07-08-16,66,7,8,2016,
189,14-08-16,61,14,8,2016,
190,21-08-16,64,21,8,2016,
191,28-08-16,68,28,8,2016,
192,04-09-16,69,4,9,2016,
193,11-09-16,66,11,9,2016,
194,18-09-16,64,18,9,2016,
195,25-09-16,65,25,9,2016,
196,02-10-16,63,2,10,2016,
197,09-10-16,61,9,10,2016,
198,16-10-16,60,16,10,2016,
199,23-10-16,58,23,10,2016,
200,30-10-16,58,30,10,2016,
201,06-11-16,56,6,11,2016,
202,13-11-16,58,13,11,2016,
203,20-11-16,56,20,11,2016,
204,27-11-16,55,27,11,2016,
205,04-12-16,52,4,12,2016,
206,11-12-16,51,11,12,2016,
207,18-12-16,53,18,12,2016,
208,25-12-16,74,25,12,2016,
