,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
113,-807.7511341119206,-807.7516656191392,-1609.984965871277,8.217318723059968,-2033.9158914483708,131.79632562450251,1398.355486284584,136.12631774836515,1536.0943083932264,133.48809091623886,-524.329536383729,123.58616041987499,-507.63077312363885,1511.4604807848546
114,-1961.7426384849146,-21469.232846073242,-4632047.277844229,-2996.7862290031694,-2443.695467727707,-2990.258773857025,-1413.3213256736428,70.15865018162967,-448.87771370750164,75.30135424830993,-1578.5275955669513,64.29337457872816,67.12312044627029,594.4222353489286
115,-1041.6355888152589,-855.9574028669845,-897.6293564117987,253.17990403640198,-89.30091458876205,-675.6030747005963,-1045.239052819656,323.0609250411407,406.1840930597113,327.69843325785234,-1043.792828373915,397.0659072391669,326.27135696763094,326.20004243474386
116,-1370.7897961033923,-1201.9851575656699,-1373.4759652134778,-211.65668959233017,221.04694432876218,-739.9588291318528,-962.5900574114352,361.6612354616242,485.5923315296278,-28.68723621553528,-966.8862703405656,48.43545360672283,228.27925994966205,322.2497666934746
117,-2526.4040727450724,-2729.066161197849,-1900.6910066846635,-1517.9901583882606,-1479.0857487180024,-1765.7109138073063,-2100.4964341996742,-1374.2670376898268,-1354.0927761971216,-1295.2161346522093,-2062.9851306495098,-1969.088154288821,-1506.7860980638334,-1464.323717658311
118,-1225.055782232916,-1223.578659899345,-24948.59604162366,-266.6683495734234,-242.9873640273389,206.62097073639057,-785.2718663989966,104.47178598363746,-115.65348128938345,205.4285104573657,-853.1313621536326,186.6914395018069,-89.40993947851472,75.22171234992797
119,-836.0328379299192,-836.0329559390898,-658.2276898064924,-33.01422094183209,-32.808782906817115,-631.1531333960089,56.866574974083726,942.212444946521,1006.0205174387926,-211.96080922076146,-671.2089056090631,1001.2862371056108,-92.61688101361605,886.5783700674934
12,-1884.6832864594915,-5849.660562445805,-654.9919096741621,-557.6429157595079,-2390.839770308043,-586.1073123799999,-1685.138488721271,-394.8215845441588,-512.131853974937,-1351.2321929303878,-1787.072876791205,-1003.995490058878,-1510.0123695931422,-401.4872473940327
120,-1588.6229433545288,-610.668910922324,-1179.6238265832587,-562.9033838098214,-395.26682368668924,-993.8052230121166,-1429.9432262585324,-389.30797182185245,-256.5132660132224,-1450.7894081088755,-1757.7237890275758,-436.6667377131744,-459.88116069422307,-543.4360216806535
121,-844.3525184810037,-3431.613063140196,-839.9542763420425,-4.823170314831842,-4.578861263095675,1584.2302679091595,1650.2918665228292,1647.8045341438549,1628.7655344597927,1549.7980520772858,-59.26662183635341,-7994.801016149544,1615.1759755690389,1648.033917303957
