,kernel,lml
288,l+r,-71.76333653094349
289,l+r*p,164.9634537274962
29,p+r,177.63619545218643
290,l+r*p,191.38071579244132
291,l+r*p,-144.25916397196593
292,l+r+p,213.6517393210908
293,l+r+p,246.3450298664937
294,l+r,10.870642121719726
295,p*r,184.89377054810683
296,p*r,122.58846573801765
297,l+r,-139.84952482600195
298,p*r,160.82443220359266
299,p*r,174.46022889227766
3,p*r,-152.11870143243746
30,l+r+p,-27.552051487638188
300,p+r,-23.336042267038387
301,p*r,141.19459627387403
302,l+r+p,131.31697659725168
303,p*r,-107.6858866467258
304,l+r*p,171.6281205078299
305,l+r+p,145.14873742730143
306,l+r+p,-20.158105577688055
307,l+r+p,164.05643506121422
308,l+r*p,105.48363067124846
309,p+r,-144.2453432958003
31,p*r,220.5465243334961
310,p*r,168.5500307858945
311,p*r,154.71876434790983
312,p+r,1.1282424983547301
313,l+r*p,148.81683336633796
314,l+r*p,136.38975346522395
315,l+r+p,-175.8395296135563
316,l+r*p,112.05626649159018
317,p*r,153.1240538475237
318,l+r+p,-36.040742686436445
319,l+r*p,173.15556032606315
32,l+r*p,121.75907529679428
320,l+r*p,108.29516397877947
321,p*r,-101.73726138229156
322,l+r*p,159.59787894844735
323,p*r,168.13700746355389
324,l+r+p,-22.996821095707283
325,p+r,199.59604974940711
326,l*r+p,206.4381833309799
327,l*r+p,-151.0604639838823
328,l+r+p,216.6207321715143
329,p*r,195.27346533692545
33,l+r*p,-145.05297692151007
330,p+r,34.68494201336002
331,p+r,159.1883478690792
332,p*r,141.42540463402355
333,p,-128.85948189703134
334,l+r+p,173.48316325608297
335,p*r,174.5816086396588
336,p+r,-5.571016160098161
337,l+r*p,169.0271678333165
338,p*r,123.53057963062193
339,l*r,-159.63773517919066
34,p*r,148.7488303282827
340,l+r*p,219.05785625455957
341,l+r+p,238.1919297884621
342,p+r,24.520397824600543
343,p*r,182.85908800392173
344,p*r,138.11310286266556
345,p+r,-128.91612462039518
346,l+r+p,178.72058820985023
347,l+r*p,171.76574360855548
348,l+r+p,-9.933204364571036
349,p*r,189.75959469582727
35,l+r*p,206.8791759635141
350,p*r,146.32215244604117
351,p*r,-144.32006367285473
352,l+r*p,182.5158825392979
353,p*r,219.8724339880267
354,l+r+p,30.492036050278855
355,l+r+p,189.01142347075665
356,l+r+p,137.35444273469102
357,p+r,-121.44658601558538
358,p*r,179.00473307292594
359,p*r,179.077774512655
36,l+r+p,16.561527608440606
360,p+r,-9.364641694578953
361,p*r,223.73529754328433
