,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
108,-423.0102833385237,-1605131.937897727,-262.1932018132063,-92.08693953279213,-87.2089386467862,-108.08961498289189,-313.4466486961775,-37.19348044866402,-139.34548593760854,-2072.2801340211186,-356.3374117380791,-112.31113631230724,-207542.3022199482,-41.10462096657969
109,-211.8609811757339,-130.19176774497225,-130.19167395172147,104.17782432006666,-24.608546832084272,159.9673972516548,-18.78811735449718,152.72989502356455,178.65094840487998,-18.998643396264132,158.7782149170214,143.6613386558916,159.9850516032576,146.44303846304263
11,-210.84692858504954,-30.774759741787943,79.51411023647407,90.99047019049924,96.00532492681747,121.09013878152804,-117.40844408546064,148.36061397364637,165.829983672851,161.92831329199103,-125.14395631418927,165.83175717408275,108.61756335778465,143.72509088947444
110,-244.1491189268241,-41.3585609494437,54.702064627294796,55.482041034463364,-40.40853617366478,-161.79941517850267,90.86345270058244,51.5166309250709,108.73555877103287,123.61332821220894,-159.7311324995487,111.24350309087605,82.11878116282901,100.41937180362967
111,-523.9819205203329,-469.5539122042123,-406.03152744818584,-180.32352063510888,-197.42442092376334,-202.14003043040609,-411.47297129318116,-120.76799670899524,-193.46374075373396,-112.52838210402386,-433.4669070372792,-260.0684601744098,-101.16323571629368,-436.32263576258526
112,-233.10552272425406,86.08246654053002,85.92730388205138,66.18676013893307,86.57075454088509,-114.69132386547822,-130.5952160053404,131.39219832922714,106.7893790618498,-25.090970372250894,-114.69132371755887,170.5147163834914,-114.6912248302679,142.54348838115703
113,-227.21336321881884,81.98712253336481,98.25606731579066,-31.545301332697953,-30.8936986620604,-115.94374885630918,-130.5831372596914,146.5218447817083,145.32903953717405,-32.914855516844966,-116.26355232388794,176.65288927756995,-116.39399714915514,99.88874915813902
114,-422.3883319962177,-259.18661399157855,-205.5546269259167,-91.30333977634653,-82.748430878717,-86.76804593292694,-312.05809596791113,-30.995302334746857,-129.86926215742005,-25.44415172439329,-317.34870696740614,-128.12601613921996,-7.437549622428939,-35.17414314825886
115,-219.35431040539058,111.11239556601276,111.1009140114353,106.48303390354447,-364.72617833925335,-121.58097996462166,113.57322454461209,156.71677641463225,174.57870630701967,120.8865839655558,116.04521977365746,172.69762811543018,-97.63961850132968,149.05654928109286
116,-261.3231971445022,-40.821015157434815,68.06405323486837,48.340728040970184,-39.699259472353205,-180.73079557205816,-155.72750421218964,109.42712613331122,137.82289994439722,81.27447707966755,-180.7829739753829,59.7633229313958,112.509650990707,74.92502859160757
117,-524.5074549305873,-482.84473958790323,-465.7776915777674,-227.42867271801936,-24249.87216340828,-241.22227285384503,-420.19898140073667,-179.49485060068062,-200.2997779271418,-162.82451820573067,-435.260976953507,-161.0787384692576,-152.33715558191957,-185.69886229540987
118,-227.36952824496606,64.93436666986389,74.77777076346948,72.54024788913813,83.42257540138245,92.55289557758059,2.301751174433373,93.45922940530878,2.29859417093785,158.34713658362446,-109.74976406203024,120.88913381613395,-109.74964646469049,122.11063902872229
119,-233.46765162637715,-31.85214285874983,99.53415928766469,-365.43705820800267,-31.25550154394412,-95.81096498423727,120.87244103731035,152.98856529775804,174.2553623911407,172.7253107706324,-123.44818286216378,170.40876836486424,167.8385775850617,112.25523291072118
12,-427.3122013768924,-1850939.2517993057,-169.49282572188832,-97.41363868382051,-179.51221872397286,-98.6075687892086,-302.3460610628313,-41.153952216525326,-93.63865650139996,-174.58805875526426,-313.13269043288057,-207.77254115854632,-15.887890569110386,-302.6326337581234
