cid,composition,white_added,second_exception
23,r,False,False
23,l+p,True,False
23,l+r,False,False
23,p+r,False,False
23,l*r,True,False
23,l*p,True,False
23,p*r,False,False
23,l+r+p,False,False
23,l+r*p,False,False
23,l*r+p,False,False
23,l*p+r,False,False
23,l*r*p,True,False
24,l,False,False
24,p,False,False
24,r,False,False
24,l+p,False,False
24,l+r,False,False
24,p+r,False,False
24,l*r,True,True
24,l*p,False,False
24,p*r,True,False
24,l+r+p,True,False
24,l+r*p,False,False
24,l*r+p,False,False
24,l*p+r,False,False
24,l*r*p,True,True
25,l,False,False
25,p,False,False
25,r,False,False
25,l+p,True,False
25,l+r,False,False
25,p+r,False,False
25,l*r,False,False
25,l*p,False,False
25,p*r,False,False
25,l+r+p,False,False
25,l+r*p,True,False
25,l*r+p,False,False
25,l*p+r,False,False
25,l*r*p,True,True
26,l,False,False
26,p,False,False
26,r,False,False
26,l+p,True,False
26,l+r,True,False
26,p+r,False,False
26,l*r,True,False
26,l*p,False,False
26,p*r,False,False
26,l+r+p,True,False
26,l+r*p,False,False
26,l*r+p,False,False
26,l*p+r,True,False
26,l*r*p,True,False
27,l,False,False
27,p,False,False
27,r,False,False
27,l+p,False,False
27,l+r,True,False
27,p+r,False,False
27,l*r,True,True
27,l*p,True,False
27,p*r,False,False
27,l+r+p,False,False
27,l+r*p,False,False
27,l*r+p,True,True
27,l*p+r,True,True
27,l*r*p,True,True
28,l,False,False
28,p,False,False
28,r,False,False
28,l+p,True,False
28,l+r,False,False
28,p+r,False,False
28,l*r,False,False
28,l*p,True,False
28,p*r,True,False
28,l+r+p,True,False
28,l+r*p,True,False
28,l*r+p,False,False
28,l*p+r,True,False
28,l*r*p,False,False
29,l,False,False
29,p,False,False
29,r,False,False
29,l+p,True,False
29,l+r,True,False
29,p+r,True,False
29,l*r,True,False
29,l*p,False,False
29,p*r,False,False
29,l+r+p,False,False
29,l+r*p,False,False
29,l*r+p,True,False
29,l*p+r,True,True
29,l*r*p,False,False
30,l,False,False
30,p,True,False
30,r,False,False
30,l+p,False,False
30,l+r,False,False
30,p+r,False,False
30,l*r,True,True
30,l*p,True,False
30,p*r,False,False
30,l+r+p,False,False
30,l+r*p,False,False
30,l*r+p,True,False
30,l*p+r,True,False
30,l*r*p,True,True
31,l,False,False
31,p,False,False
31,r,False,False
31,l+p,False,False
31,l+r,False,False
31,p+r,False,False
31,l*r,True,False
31,l*p,True,False
31,p*r,False,False
31,l+r+p,False,False
31,l+r*p,False,False
31,l*r+p,False,False
31,l*p+r,True,False
31,l*r*p,True,False
32,l,False,False
32,p,False,False
32,r,False,False
32,l+p,False,False
32,l+r,False,False
32,p+r,False,False
32,l*r,False,False
32,l*p,False,False
32,p*r,False,False
32,l+r+p,False,False
32,l+r*p,False,False
32,l*r+p,False,False
32,l*p+r,True,False
32,l*r*p,False,False
33,l,False,False
33,p,False,False
33,r,False,False
33,l+p,False,False
33,l+r,True,False
33,p+r,False,False
33,l*r,True,True
33,l*p,False,False
33,p*r,False,False
33,l+r+p,False,False
33,l+r*p,False,False
33,l*r+p,True,True
33,l*p+r,True,False
33,l*r*p,True,True
34,l,False,False
34,p,True,False
34,r,False,False
34,l+p,False,False
34,l+r,False,False
34,p+r,False,False
34,l*r,True,False
34,l*p,False,False
34,p*r,False,False
34,l+r+p,False,False
34,l+r*p,False,False
34,l*r+p,False,False
34,l*p+r,False,False
34,l*r*p,False,False
35,l,False,False
35,p,False,False
35,r,False,False
35,l+p,False,False
35,l+r,False,False
35,p+r,False,False
35,l*r,True,False
35,l*p,True,True
35,p*r,False,False
35,l+r+p,False,False
35,l+r*p,False,False
35,l*r+p,False,False
35,l*p+r,False,False
35,l*r*p,True,True
36,l,False,False
36,p,False,False
36,r,False,False
36,l+p,False,False
36,l+r,False,False
36,p+r,False,False
